N	Z	Q(b3n)
62	48	-31641.46
61	49	-33129.211
60	50	-40401.6
59	51	-41630.98
58	52	-38470.928
57	53	1010
56	54	1010
71	40	-3143.41
70	41	-3129.77
69	42	-9346.579
68	43	-10155.121
67	44	-16755.736
66	45	-17816.288
65	46	-23400.711
64	47	-24023.4
63	48	-30366.098
62	49	-31331.593
61	50	-38392.053
60	51	-39809.249
59	52	-36378.929
58	53	-38396.811
57	54	1010
72	40	-2121.84
71	41	-2783.84
70	42	-8073.79
69	43	-9733.754
68	44	-15381.126
67	45	-16938.035
66	46	-22678.192
65	47	-23165.372
64	48	-29081.224
63	49	-30343.071
62	50	-37529.736
61	51	-39216.977
60	52	1010
59	53	-35595.378
58	54	1010
57	55	1010
72	41	-1028.96
71	42	-6995.82
70	43	-7511.777
69	44	-14222.717
68	45	-15462.625
67	46	-20963.722
66	47	-21659.918
65	48	-27684.409
64	49	-28419.781
63	50	-35761.624
62	51	-37220.767
61	52	-43083.813
60	53	-35817.604
59	54	1010
58	55	1010
73	41	-488.99
72	42	-5710.99
71	43	-7253.12
70	44	-12607.101
69	45	-14577.137
68	46	-20323.965
67	47	-20798.037
66	48	-26316.295
65	49	-27667.901
64	50	-34849.001
63	51	-36024.345
62	52	-41957.66
61	53	1010
60	54	-40979.239
59	55	1010
58	56	1010
74	41	1119.87
73	42	-4667.17
72	43	-5186.87
71	44	-11801.911
70	45	-12921.473
69	46	-18581.692
68	47	-19629.852
67	48	-25440.285
66	49	-25596.25
65	50	-33372.39
64	51	-34441.184
63	52	-40174.882
62	53	-41412.799
61	54	-37857
60	55	1010
59	56	1010
74	42	-3456.07
73	43	-4853.1
72	44	-10129.432
71	45	-12089.986
70	46	-17828.406
69	47	-18233.927
68	48	-24176.36
67	49	-25112.561
66	50	-32398.741
65	51	-33537.013
64	52	-39049.725
63	53	-40292.982
62	54	1010
61	55	-34986
60	56	1010
59	57	1010
75	42	-2633.88
74	43	-2884.62
73	44	-9143.743
72	45	-10390.875
71	46	-16349.294
70	47	-17183.396
69	48	-22913.982
68	49	-22949.65
67	50	-30552.178
66	51	-31929.369
65	52	-37402.266
64	53	-38917.963
63	54	-44585.245
62	55	-37090.404
61	56	1010
60	57	1010
75	43	-2899.52
74	44	-8105.35
73	45	-9553.034
72	46	-15345.352
71	47	-16310.291
70	48	-22022.61
69	49	-22517.565
68	50	-29580.16
67	51	-30834.956
66	52	-36334.772
65	53	-36870.961
64	54	-43262.689
63	55	-34508
62	56	-41172
61	57	1010
76	43	-1084.56
75	44	-6972.14
74	45	-7887.45
73	46	-13911.272
72	47	-14853.434
71	48	-20725.966
70	49	-21000.107
69	50	-28433.936
68	51	-29308.1
67	52	-34854.767
66	53	-36029.827
65	54	-41861.951
64	55	1010
63	56	-37363
62	57	1010
61	58	1010
77	43	-1345.4
76	44	-6343.05
75	45	-7619.51
74	46	-12969.457
73	47	-14197.257
72	48	-19886.813
71	49	-20476.63
70	50	-27303.948
69	51	-28313.166
68	52	-34194.67
67	53	-34186.633
66	54	-40696.695
65	55	-41496
64	56	-38516
63	57	1010
62	58	1010
77	44	-5189.64
76	45	-6352.63
75	46	-11858.097
74	47	-12738.545
73	48	-18768.872
72	49	-19161.157
71	50	-26435.671
70	51	-26939.876
69	52	-32206.379
68	53	-33527.385
