N	Z	P1n	P2n	P3n
41	26	0.98	0	0
42	26	1.8	0	0
43	26	5.33	0	0
44	26	11.17	0	0
45	26	20.53	0.25	0
46	26	20.02	0	0
47	26	33.97	3.74	0
48	26	44.04	0.79	0
49	26	51.91	15.15	0.01
50	26	68.35	9.95	0.12
51	26	38.89	50.21	2.11
52	26	28.54	37.85	27.31
53	26	1.28	47.99	46.9
54	26	5.54	4.43	88.18
55	26	0.13	30.76	67.81
56	26	3.26	0.6	96.14
57	26	99.02	0	0
58	26	1.99	98.01	0
59	26	98.26	0	0
60	26	1.17	98.83	0
61	26	99.26	0	0
62	26	1.13	98.87	0
63	26	99.3	0	0
64	26	0	100	0
65	26	99.49	0	0
66	26	0	100	0
31	27	0	0	0
32	27	0	0	0
33	27	0	0	0
34	27	0	0	0
35	27	0	0	0
36	27	0	0	0
37	27	0	0	0
38	27	0	0	0
39	27	0	0	0
40	27	0.06	0	0
41	27	0.73	0	0
42	27	0.89	0	0
43	27	2.03	0	0
44	27	3.1	0	0
45	27	3.47	0.3	0
46	27	4.63	0.01	0
47	27	6.36	1.45	0
48	27	11.32	0.77	0
49	27	26.37	5.64	0
50	27	69.41	6.79	0.04
51	27	41.3	25.45	0.74
52	27	66.58	16.06	15.25
53	27	1.12	72.63	24.66
54	27	3.33	3.8	92.59
55	27	0.05	33.57	65.97
56	27	1.87	0.08	98.06
57	27	99.53	0	0
58	27	2.85	97.15	0
59	27	98.99	0	0
60	27	4.05	95.95	0
61	27	99.59	0	0
62	27	4.02	95.98	0
63	27	99.6	0	0
64	27	0.9	99.1	0
65	27	99.69	0	0
66	27	0	100	0
67	27	99.71	0	0
68	27	0	100	0
69	27	99.75	0	0
30	28	0	0	0
32	28	0	0	0
33	28	0	0	0
34	28	0	0	0
35	28	0	0	0
36	28	0	0	0
37	28	0	0	0
38	28	0	0	0
39	28	0	0	0
40	28	0	0	0
41	28	0	0	0
42	28	0	0	0
43	28	0	0	0
44	28	0	0	0
45	28	0.16	0	0
46	28	2.26	0	0
47	28	6.08	0	0
48	28	20.49	0	0
49	28	25.23	0	0
50	28	39.16	0	0
51	28	62.09	4.75	0
52	28	63.71	13.55	0.02
53	28	20.25	57.46	6.34
54	28	36.98	21.66	28.75
55	28	34.81	21.83	13.63
56	28	41.76	22.97	32.11
57	28	1.59	50.02	46.27
58	28	27.53	9.4	62.3
59	28	0.12	19.34	78.95
60	28	11.78	10.71	76.88
61	28	0.76	16.94	74.79
62	28	14.8	5.65	79.36
63	28	0.05	6.93	91.84
64	28	3.01	2.6	94.39
65	28	97.11	0	0
66	28	0.68	99.32	0
67	28	99.53	0	0
68	28	0	100	0
69	28	99.47	0	0
70	28	0	100	0
71	28	97.94	0	0
34	29	0	0	0
35	29	0	0	0
36	29	0	0	0
37	29	0	0	0
38	29	0	0	0
39	29	0	0	0
40	29	0	0	0
41	29	0	0	0
42	29	0	0	0
43	29	0	0	0
44	29	0.02	0	0
45	29	0.15	0	0
46	29	2.56	0	0
47	29	2.5	0	0
48	29	10.54	0	0
49	29	10.57	0.09	0
50	29	25.38	0	0
51	29	43.94	12.61	0
52	29	62.12	21.28	0.25
53	29	28.91	56.99	4.93
54	29	46.44	30.57	17.53
55	29	13.17	64.39	18.26
56	29	24.02	42.82	30.68
57	29	1.51	65.15	31.85
58	29	6.61	31.65	61.24
59	29	0.06	17.85	81.59
60	29	1.38	2.12	96.15
61	29	0.72	12.09	86.45
62	29	1.86	0.32	97.82
63	29	0	2.43	97.13
64	29	1.11	0	98.57
65	29	0.01	1.63	98.08
66	29	0.86	0.08	99.07
67	29	99.72	0	0
68	29	0.62	99.38	0
69	29	99.72	0	0
70	29	0.94	99.06	0
71	29	99.8	0	0
72	29	0	100	0
73	29	99.86	0	0
34	30	0	0	0
36	30	0	0	0
37	30	0	0	0
38	30	0	0	0
39	30	0	0	0
40	30	0	0	0
41	30	0	0	0
42	30	0	0	0
43	30	0	0	0
44	30	0	0	0
45	30	0	0	0
46	30	0	0	0
47	30	0	0	0
48	30	0	0	0
49	30	0.34	0	0
50	30	6.19	0	0
51	30	13.38	0	0
52	30	44.8	0	0
53	30	28.81	21.1	0
54	30	48.69	12.95	0.06
55	30	28.14	8.96	0.53
56	30	64.25	5.3	1.1
57	30	46.32	27.48	4.66
58	30	65.23	9.6	7.9
59	30	23.5	50.15	16.25
60	30	56.6	19.27	19.33
61	30	16.29	37.39	21.99
62	30	50.34	15.88	31.06
63	30	4.39	49.08	44.05
64	30	27.94	14.33	56.5
65	30	1.62	29.65	66.85
66	30	6.11	4.7	89.19
67	30	95.44	0	0
68	30	5.28	94.72	0
69	30	0	2.27	96.95
70	30	2.03	0	97.97
71	30	99.43	0	0
72	30	0.63	99.37	0
73	30	99.67	0	0
74	30	0	100	0
75	30	99.73	0	0
38	31	0	0	0
39	31	0	0	0
40	31	0	0	0
41	31	0	0	0
42	31	0	0	0
43	31	0	0	0
44	31	0	0	0
45	31	0	0	0
46	31	0	0	0
47	31	0	0	0
48	31	0.06	0	0
49	31	0.43	0	0
50	31	4.74	0	0
51	31	9.3	0	0
52	31	59.1	0.02	0
53	31	27.37	14.54	0
54	31	60.9	10.48	0.14
55	31	20.63	44.38	1.59
56	31	68.98	12.88	6.68
57	31	34.52	40.92	2.41
58	31	70.02	18.78	8.67
59	31	19.7	46.68	10.3
60	31	38.54	15.71	23
61	31	3.79	67.64	23.27
62	31	40.7	13.07	39.94
63	31	13.83	38.22	42.17
64	31	20.67	15.98	60.78
65	31	0.83	16	82.38
66	31	2.22	1.3	96.16
67	31	0.17	2.66	96.37
68	31	1.5	0.16	97.94
69	31	0.16	2.06	97.27
70	31	1.98	0.05	97.97
71	31	0	1.92	97.82
72	31	0.82	0.32	98.86
73	31	99.75	0	0
74	31	0.32	99.68	0
75	31	99.8	0	0
76	31	0	100	0
77	31	99.76	0	0
38	32	0	0	0
40	32	0	0	0
41	32	0	0	0
42	32	0	0	0
43	32	0	0	0
44	32	0	0	0
45	32	0	0	0
46	32	0	0	0
47	32	0	0	0
48	32	0	0	0
49	32	0	0	0
50	32	0	0	0
51	32	0.09	0	0
52	32	9.68	0	0
