N	Z	Q(bn)
55	45	-11478.292
54	46	-16586.066
53	47	-16278.153
52	48	-20889.624
51	49	-24440
50	50	1010
65	36	9347
64	37	8946.84
63	38	3700.02
62	39	3243.657
61	40	-1438.73
60	41	-769.826
59	42	-5567.856
58	43	-5188.53
57	44	-10437.681
56	45	-10254.919
55	46	-15364.013
54	47	-15211.098
53	48	-19595
52	49	-19401.97
51	50	1010
65	37	9783.31
64	38	4637.31
63	39	3926.066
62	40	-777.093
61	41	-865.518
60	42	-5300.723
59	43	-4687.329
58	44	-9763.393
57	45	-9421.092
56	46	-14667.942
55	47	-14481.4
54	48	-19116.789
53	49	-18459.44
52	50	1010
66	37	10679
65	38	5679.28
64	39	5064.681
63	40	417.833
62	41	474.043
61	42	-4467.514
60	43	-3570.302
59	44	-8554.525
58	45	-8168.37
57	46	-13309.812
56	47	-13212.075
55	48	-18029.57
54	49	-17767.09
53	50	1010
52	51	1010
66	38	6281
65	39	5685.9
64	40	1223.552
63	41	1070.282
62	42	-3825.338
61	43	-3314.861
60	44	-8137.002
59	45	-7541.976
58	46	-12666.003
57	47	-12535.647
56	48	-17410.041
55	49	-17284.463
54	50	-23519.496
53	51	1010
67	38	7382
66	39	6836.95
65	40	2282.9
64	41	2372.683
63	42	-2907.369
62	43	-2270.531
61	44	-7048.145
60	45	-6526.892
59	46	-11372.75
58	47	-11173.911
57	48	-16222.486
56	49	-16084.846
55	50	-22238.756
54	51	1010
53	52	1010
68	38	7961
67	39	7347
66	40	2932.91
65	41	3072.236
64	42	-1919.185
63	43	-1914.19
62	44	-6543.155
61	45	-6015.344
60	46	-10907.892
59	47	-10679.737
58	48	-15562.763
57	49	-15341.342
56	50	-21408.909
55	51	-21733.103
54	52	1010
69	38	9082
68	39	8472
67	40	3859.27
66	41	4349.398
65	42	-853.846
64	43	-496.832
63	44	-5570.025
62	45	-5027.768
61	46	-9501.572
60	47	-9345.897
59	48	-14453.55
58	49	-14281.881
57	50	-20110.255
56	51	-20505.853
55	52	1010
54	53	1010
69	39	8900
68	40	4295.82
67	41	4940.623
66	42	-85.763
65	43	-131.567
64	44	-4866.778
63	45	-4730.72
62	46	-9189.083
61	47	-8687.757
60	48	-13759.62
59	49	-13679.028
58	50	-19488.033
57	51	-19980.319
56	52	-24279.142
55	53	1010
70	39	10081
69	40	5281.72
68	41	6071.104
67	42	1176.96
66	43	1307.276
65	44	-3775.746
64	45	-3546.884
63	46	-8071.259
62	47	-7538.651
61	48	-12455.742
60	49	-12489.308
59	50	-18256.9
58	51	-18540.704
57	52	-23140.177
56	53	1010
55	54	1010
70	40	5663
69	41	6465.04
68	42	1660.298
67	43	1632.595
66	44	-3141.968
65	45	-3293.661
64	46	-7682.956
63	47	-7024.716
62	48	-11932.15
61	49	-11911.171
60	50	-17662.25
59	51	-17805.66
58	52	-22627.958
57	53	-22365.869
56	54	1010
71	40	6505
70	41	7602.12
69	42	3023.451
68	43	2976.719
67	44	-2025.526
66	45	-2044.448
65	46	-6600.071
64	47	-5938.83
63	48	-10853.628
62	49	-10620.233
61	50	-16561.103
60	51	-16678.229
59	52	-21194.619
58	53	-21106.541
57	54	1010
72	40	6993
71	41	7592
70	42	3487.16
69	43	3456.816
68	44	-1395.366
67	45	-1817.695
66	46	-6176.872
65	47	-5401.952
64	48	-10256.224
63	49	-10122.871
62	50	-15890.576
61	51	-16082.807
60	52	-20685.018
59	53	-20742.108
58	54	1010
57	55	1010
72	41	8881
71	42	4414.2
70	43	4745.853
69	44	-208.787
68	45	-517.235
67	46	-5078.902
66	47	-4522.298
65	48	-9123.499
64	49	-8781.151
63	50	-14800.594
62	51	-14920.887
61	52	-19355.013
60	53	-19164.404
59	54	-23987.673
58	55	1010
73	41	9311
72	42	4934
71	43	5031.01
70	44	474.409
69	45	-193.437
68	46	-4535.685
67	47	-3958.867
66	48	-8720.335
65	49	-8311.471
64	50	-14211.581
63	51	-14219.935
62	52	-18840
61	53	-18663.57
60	54	-23393.289
59	55	1010
58	56	1010
74	41	10382
73	42	5947
72	43	6242.87
71	44	1338.269
70	45	1190.557
69	46	-3567.102
68	47	-3039.132
67	48	-7587.305
66	49	-7050.32
65	50	-13609.51
64	51	-13186.154
63	52	-17337.962
62	53	-17323.229
61	54	-22046
60	55	-21811
59	56	1010
74	42	6337
73	43	6776.61
72	44	2089.048
71	45	1616.244
70	46	-2920.506
69	47	-2529.577
68	48	-7247.53
67	49	-6287.231
66	50	-12593.911
65	51	-12830.213
64	52	-17002.485
63	53	-16906.802
62	54	-21418
61	55	-21109
60	56	1010
59	57	1010
75	42	7215
74	43	7615.92
73	44	3148.037
72	45	2862.945
71	46	-1953.344
70	47	-1540.816
69	48	-6240.032
68	49	-5488.39
67	50	-11647.448
66	51	-11441.919
65	52	-15674.506
64	53	-15460.673
63	54	-20194.245
62	55	-19867.404
61	56	-24990
60	57	1010
75	43	7658
74	44	3567.59
73	45	3465.686
72	46	-1278.152
71	47	-1206.641
70	48	-5829.96
69	49	-4901.785
68	50	-11084.64
67	51	-10972.136
66	52	-15332.022
65	53	-14857.031
64	54	-19657.279
63	55	-18859
62	56	-23838
61	57	1010
76	43	8816
75	44	4252.57
74	45	4494.77
73	46	74.348
72	47	-15.364
71	48	-4820.186
70	49	-4117.927
69	50	-10140.136
68	51	-9848.75
67	52	-14281.487
66	53	-13757.787
65	54	-18456.361
64	55	-18021.965
63	56	-23041
62	57	1010
61	58	1010
