N_stab	Z_stab	N	Z	N_P	Z_P	P1n	P2n	P3n	Ele_MOE
0	0	24	22	41	21	10.75	47.02	4.36	Sc
0	0	23	23	42	21	48.79	38.74	8.78	Sc
0	0	22	24	43	21	14.62	50.87	17.18	Sc
0	0	21	25	44	21	37.51	7.24	54.31	Sc
0	0	20	26	45	21	2.96	39.66	54.08	Sc
0	0	32	15	46	21	29.73	2.17	67.5	Sc
0	0	31	16	47	21	0.27	30.93	67.96	Sc
0	0	30	17	48	21	10.75	5.13	84.12	Sc
0	0	29	18	49	21	0	18.85	80.64	Sc
0	0	28	19	50	21	3.77	1.04	95.19	Sc
0	0	27	20	51	21	99.58	0	0	Sc
0	0	26	21	52	21	1.02	98.98	0	Sc
0	0	25	22	53	21	99.53	0	0	Sc
0	0	24	23	54	21	0	100	0	Sc
0	0	23	24	55	21	100	0	0	Sc
0	0	22	25	24	22	0	0	0	Ti
0	0	21	26	25	22	0	0	0	Ti
0	0	20	27	26	22	0	0	0	Ti
0	0	32	16	27	22	0	0	0	Ti
0	0	31	17	28	22	0	0	0	Ti
0	0	30	18	29	22	0	0	0	Ti
0	0	29	19	30	22	0	0	0	Ti
0	0	28	20	31	22	0	0	0	Ti
0	0	27	21	32	22	0	0	0	Ti
0	0	26	22	33	22	0	0	0	Ti
0	0	25	23	34	22	0.22	0	0	Ti
0	0	24	24	35	22	0.54	0	0	Ti
0	0	23	25	36	22	1.25	0	0	Ti
0	0	22	26	37	22	1.09	0.05	0	Ti
0	0	21	27	38	22	2.43	0	0	Ti
0	0	20	28	39	22	2.49	0.83	0	Ti
0	0	33	16	40	22	5.72	0.07	0	Ti
0	0	32	17	41	22	22.25	5.47	0	Ti
0	0	31	18	42	22	89.09	2.7	0.06	Ti
0	0	30	19	43	22	52.53	16.43	1.32	Ti
0	0	29	20	44	22	54.71	4.01	2.48	Ti
0	0	28	21	45	22	54.49	35.62	4.85	Ti
0	0	27	22	46	22	74.85	11.32	9.31	Ti
0	0	26	23	47	22	13.8	66.43	16.7	Ti
0	0	25	24	48	22	58.76	21.04	17.92	Ti
0	0	24	25	49	22	0.95	68.76	28.38	Ti
0	0	23	26	50	22	28.39	29.61	40.16	Ti
0	0	22	27	51	22	0.33	9.2	88.97	Ti
0	0	21	28	52	22	3.04	1.34	95.62	Ti
0	0	33	17	53	22	99.03	0	0	Ti
0	0	32	18	54	22	0	100	0	Ti
0	0	31	19	55	22	99.73	0	0	Ti
0	0	30	20	56	22	0	100	0	Ti
0	0	29	21	57	22	100	0	0	Ti
0	0	28	22	58	22	100	0	0	Ti
0	0	27	23	27	23	0	0	0	V
0	0	26	24	28	23	0	0	0	V
0	0	25	25	29	23	0	0	0	V
0	0	24	26	30	23	0	0	0	V
0	0	23	27	31	23	0	0	0	V
0	0	22	28	32	23	0	0	0	V
0	0	34	17	33	23	0	0	0	V
0	0	33	18	34	23	0.25	0	0	V
0	0	32	19	35	23	0.75	0	0	V
0	0	31	20	36	23	5.33	0	0	V
0	0	30	21	37	23	3.73	0.03	0	V
0	0	29	22	38	23	12.65	0	0	V
0	0	28	23	39	23	17.69	0.29	0	V
0	0	27	24	40	23	25.01	0.19	0	V
0	0	26	25	41	23	26.69	3.55	0	V
0	0	25	26	42	23	36.27	1.28	0.13	V
0	0	24	27	43	23	16.12	27.59	0.17	V
0	0	23	28	44	23	49.55	3.19	3.13	V
0	0	34	18	45	23	16.84	42.57	3.16	V
0	0	33	19	46	23	57.56	15.45	8.23	V
0	0	32	20	47	23	23.79	51.73	12.11	V
0	0	31	21	48	23	46.7	20.65	31.25	V
0	0	30	22	49	23	6.46	51.34	40.91	V
0	0	29	23	50	23	39.48	5.36	54	V
0	0	28	24	51	23	1.26	34.72	63.5	V
0	0	27	25	52	23	1.98	1.75	96.26	V
0	0	26	26	53	23	99.48	0	0	V
0	0	25	27	54	23	0.8	99.2	0	V
0	0	24	28	55	23	99.51	0	0	V
0	0	23	29	56	23	0	100	0	V
0	0	35	18	57	23	100	0	0	V
0	0	34	19	58	23	100	0	0	V
0	0	33	20	59	23	99.6	0	0	V
0	0	32	21	60	23	0	100	0	V
0	0	31	22	26	24	0	0	0	Cr
0	0	30	23	28	24	0	0	0	Cr
0	0	29	24	29	24	0	0	0	Cr
0	0	28	25	30	24	0	0	0	Cr
0	0	27	26	31	24	0	0	0	Cr
0	0	26	27	32	24	0	0	0	Cr
0	0	25	28	33	24	0	0	0	Cr
0	0	24	29	34	24	0	0	0	Cr
0	0	35	19	35	24	0	0	0	Cr
0	0	34	20	36	24	0	0	0	Cr
0	0	33	21	37	24	0.69	0	0	Cr
0	0	32	22	38	24	0.74	0	0	Cr
0	0	31	23	39	24	2.52	0	0	Cr
0	0	30	24	40	24	1.13	0	0	Cr
0	0	29	25	41	24	7.74	0.06	0	Cr
0	0	28	26	42	24	7.18	0	0	Cr
0	0	27	27	43	24	9.98	1.11	0	Cr
0	0	26	28	44	24	14.73	0.11	0	Cr
0	0	25	29	45	24	19.26	6.22	0	Cr
0	0	24	30	46	24	34.76	2.5	0.08	Cr
0	0	36	19	47	24	48.54	16.02	0.76	Cr
0	0	35	20	48	24	76.09	7.53	3.34	Cr
0	0	34	21	49	24	48.59	34.59	8.89	Cr
0	0	33	22	50	24	69.47	10.15	15.54	Cr
0	0	32	23	51	24	6.98	63.7	26.42	Cr
0	0	31	24	52	24	9.01	36.26	54.74	Cr
0	0	30	25	53	24	0.05	4.16	94.23	Cr
0	0	29	26	54	24	2.62	0.16	97.21	Cr
0	0	28	27	55	24	98.78	0	0	Cr
0	0	27	28	56	24	0.63	99.37	0	Cr
0	0	26	29	57	24	99.32	0	0	Cr
0	0	25	30	58	24	0	100	0	Cr
0	0	37	19	59	24	99.63	0	0	Cr
0	0	36	20	60	24	0	100	0	Cr
0	0	35	21	61	24	99.62	0	0	Cr
0	0	34	22	62	24	0	100	0	Cr
0	0	33	23	29	25	0	0	0	Mn
0	0	32	24	30	25	0	0	0	Mn
0	0	31	25	31	25	0	0	0	Mn
0	0	30	26	32	25	0	0	0	Mn
0	0	29	27	33	25	0	0	0	Mn
0	0	28	28	34	25	0	0	0	Mn
0	0	27	29	35	25	0	0	0	Mn
0	0	26	30	36	25	0.02	0	0	Mn
0	0	25	31	37	25	0.1	0	0	Mn
0	0	37	20	38	25	0.73	0	0	Mn
0	0	36	21	39	25	1.49	0	0	Mn
0	0	35	22	40	25	4	0	0	Mn
0	0	34	23	41	25	8.74	0.46	0	Mn
0	0	33	24	42	25	9.7	0	0	Mn
0	0	32	25	43	25	14.69	0.76	0	Mn
0	0	31	26	44	25	22.68	0.36	0	Mn
0	0	30	27	45	25	19.35	5.99	0	Mn
0	0	29	28	46	25	31.43	2.65	0.18	Mn
0	0	28	29	47	25	25.88	15.34	0.35	Mn
0	0	27	30	48	25	68.78	6.42	3.04	Mn
