N	Z	P1n	P2n	P3n	P4n	P5n
34	27	0	0	0	0	0
35	27	0	0	0	0	0
36	27	0	0	0	0	0
37	27	1.4	0	0	0	0
38	27	1.6	0	0	0	0
39	27	1.9	0.5	0	0	0
40	27	2.5	0.2	0	0	0
41	27	2.9	0.9	0.2	0	0
42	27	7.1	0.6	0.3	0	0
43	27	10.6	1.4	0.3	0.2	0
44	27	22.5	0.9	0.5	0.2	0
45	27	30.5	3.6	0.4	0.3	0.2
46	27	64.1	1.8	0.7	0.2	0.2
47	27	63.6	10.7	0.6	0.4	0.4
48	27	72.8	7.9	1.2	0.3	0.5
49	27	64.6	17.3	2.3	0.7	0.6
50	27	70.4	9.9	7.3	0.5	0.8
51	27	11.9	64	9.1	4.4	1
52	27	22.8	51.6	15.1	5.5	1.8
53	27	1.5	58.2	16.2	15.7	5.2
54	27	5.6	8.2	60.4	5.6	17.6
55	27	0.4	10	10.9	53.6	22.4
56	27	3	2.4	24.5	33	34.9
57	27	0	6	1.5	40.4	49.6
58	27	1.5	1	11.5	9.5	74.2
59	27	0	2	0	15.7	80.2
60	27	0.9	0	4.9	1.5	90.7
61	27	0	0.7	0	2.9	94.7
62	27	0.4	0	1	0.1	96.7
63	27	0	0.3	0	0.7	97.5
64	27	0.1	0	0.3	0	98.1
65	27	0	0.1	0	0.3	98.4
66	27	0	0	0.1	0	98.5
67	27	0	0	0	0.1	98.7
69	27	0	0	0	0.1	99
31	28	0	0	0	0	0
35	28	0	0	0	0	0
37	28	0	0	0	0	0
38	28	0	0	0	0	0
39	28	0	0	0	0	0
40	28	0	0	0	0	0
41	28	0.9	0	0	0	0
42	28	0.8	0	0	0	0
43	28	2.5	0.5	0	0	0
44	28	3.1	0.2	0	0	0
45	28	4.9	1.1	0.2	0	0
46	28	6.9	0.7	0.2	0	0
47	28	21.6	1.7	0.4	0.3	0
48	28	29	1	0.5	0.2	0
49	28	58.8	4.6	0.6	0.4	0.2
50	28	64.8	3.8	0.9	0.3	0.3
51	28	18.7	35.7	0.8	0.6	0.5
52	28	25.5	30	3.7	0.5	0.6
53	28	10.9	33.2	14.9	2.1	1
54	28	18.4	6.8	28.1	3.2	1.3
55	28	9.6	17.8	8.5	27.2	3.2
56	28	15.2	10.9	13.9	14.8	9.6
57	28	11.5	20.5	6.1	14.6	15.9
58	28	19.7	7.6	9.2	7.6	20.1
59	28	9.5	26.4	4.1	12.2	27.1
60	28	23.4	6	11.4	4	27.6
61	28	3.4	27.6	10	11.6	37.3
62	28	12	13.6	45.2	5.4	13.8
63	28	0.7	3.6	5.1	23.3	63.2
64	28	5.7	1.4	20.6	21.6	43.7
65	28	0	1.4	0.3	5.5	89.4
66	28	1.7	0.2	4.5	2.7	85.4
67	28	0	0.3	0	0.7	96.6
68	28	0	0	0.6	0.2	95.6
69	28	0	0	0	0.2	97.8
35	29	0	0	0	0	0
37	29	0	0	0	0	0
38	29	0	0	0	0	0
39	29	0	0	0	0	0
40	29	0	0	0	0	0
41	29	1.6	0	0	0	0
42	29	1.9	0	0	0	0
43	29	3.8	0.7	0	0	0
44	29	9.6	0.4	0	0	0
45	29	14.5	1.4	0.3	0	0
46	29	49.9	0.9	0.3	0	0
47	29	58.8	2.4	0.4	0.3	0
48	29	69.7	1.4	0.6	0.2	0
49	29	65.6	7.3	0.6	0.4	0.2
50	29	77.4	4.3	1	0.3	0.3
51	29	17.5	41.7	0.8	0.6	0.4
52	29	41.7	31	4.3	0.5	0.6
53	29	22.8	34.1	17.1	1.8	0.8
54	29	44.6	8.9	27.2	2.7	1.3
55	29	17	35.8	4.8	24.4	2.1
56	29	43.4	14	11.1	14.4	8.8
57	29	7.8	49.6	4	15.8	14
58	29	31.4	23.5	13.4	4.8	21.5
59	29	2.3	44.8	9.5	11.2	26.8
60	29	18.3	16	27.4	3.2	30.8
61	29	0.3	8.2	6.7	68.4	13.2
62	29	3.5	1.1	50.2	20.6	21.7
63	29	0.1	2.5	1.2	28.7	64.8
64	29	1.7	0.3	10.2	5.9	79.3
65	29	0	1.2	0	5.7	90.9
66	29	0.8	0	2.9	0.7	93.1
67	29	0	0.4	0	1.1	96.7
68	29	0.3	0	0.8	0	96.9
69	29	0	0.2	0	0.5	97.9
70	29	0	0	0.2	0	98.2
71	29	0	0	0	0.2	98.5
