N	Z	bn	b2n
52	32	2	2
51	33	2	2
50	34	2	2
49	35	2	2
48	36	2	2
47	37	2	2
46	38	2	2
45	39	2	1
44	40	1	1
43	41	1	0
42	42	0	0
55	30	1	1
54	31	1	1
53	32	2	2
52	33	2	2
51	34	2	2
50	35	2	2
49	36	2	2
48	37	2	2
47	38	2	2
46	39	2	2
45	40	1	2
44	41	1	1
43	42	0	0
42	43	0	0
55	31	1	1
54	32	1	1
53	33	2	2
52	34	2	2
51	35	2	2
50	36	2	2
49	37	2	2
48	38	2	2
47	39	2	2
46	40	2	2
45	41	2	1
44	42	1	0
43	43	0	0
56	31	1	1
55	32	1	1
54	33	2	2
53	34	2	2
52	35	2	2
51	36	2	2
50	37	2	2
49	38	2	2
48	39	2	2
47	40	2	2
46	41	2	2
45	42	1	1
44	43	0	0
43	44	0	0
56	32	1	1
55	33	1	1
54	34	2	2
53	35	2	2
52	36	2	2
51	37	2	2
50	38	2	2
49	39	2	2
48	40	2	2
47	41	2	2
46	42	2	1
45	43	1	0
44	44	0	0
57	32	1	1
56	33	1	1
55	34	2	2
54	35	2	2
53	36	2	2
52	37	2	2
51	38	2	2
50	39	2	2
49	40	2	2
48	41	2	2
47	42	2	2
46	43	1	1
45	44	0	0
44	45	0	0
58	32	1	1
57	33	1	1
56	34	2	2
55	35	2	2
54	36	2	2
53	37	2	2
52	38	2	2
51	39	2	2
50	40	2	2
49	41	2	2
48	42	2	2
47	43	1	1
46	44	1	0
45	45	0	0
58	33	1	1
57	34	1	1
56	35	2	2
55	36	2	2
54	37	2	2
53	38	2	2
52	39	2	2
51	40	2	2
50	41	2	2
49	42	2	2
48	43	2	1
47	44	1	1
46	45	0	0
45	46	0	0
59	33	1	1
58	34	1	1
57	35	2	2
56	36	2	2
55	37	2	2
54	38	2	2
53	39	2	2
52	40	2	2
51	41	2	2
50	42	2	2
49	43	2	2
48	44	1	1
47	45	1	0
46	46	0	0
59	34	1	1
58	35	2	2
57	36	2	2
56	37	2	2
55	38	2	2
54	39	2	2
53	40	2	2
52	41	2	2
51	42	2	2
50	43	2	2
49	44	2	2
48	45	1	1
47	46	0	0
46	47	0	0
60	34	1	1
59	35	1	1
58	36	2	2
57	37	2	2
56	38	2	2
55	39	2	2
54	40	2	2
53	41	2	2
52	42	2	2
51	43	2	2
50	44	2	2
49	45	1	1
48	46	1	0
47	47	0	0
61	34	1	1
60	35	1	1
59	36	2	2
58	37	2	2
57	38	2	2
56	39	2	2
55	40	2	2
54	41	2	2
53	42	2	2
52	43	2	2
51	44	2	2
50	45	2	1
49	46	1	1
48	47	0	0
47	48	0	0
61	35	1	1
60	36	2	2
59	37	2	2
58	38	2	2
57	39	2	2
56	40	2	2
55	41	2	2
54	42	2	2
53	43	2	2
52	44	2	2
51	45	2	2
50	46	1	1
49	47	1	0
48	48	0	0
62	35	1	1
61	36	2	2
60	37	2	2
59	38	2	2
58	39	2	2
57	40	2	2
56	41	2	2
55	42	2	2
54	43	2	2
53	44	2	2
52	45	2	2
51	46	2	1
50	47	1	1
49	48	0	0
48	49	0	0
63	35	1	1
62	36	1	1
61	37	2	2
60	38	2	2
59	39	2	2
58	40	2	2
57	41	2	2
56	42	2	2
55	43	2	2
54	44	2	2
53	45	2	2
52	46	2	2
51	47	1	1
50	48	1	0
49	49	0	0
63	36	1	1
62	37	2	2
61	38	2	2
60	39	2	2
59	40	2	2
58	41	2	2
57	42	2	2
56	43	2	2
55	44	2	2
54	45	2	2
53	46	2	2
52	47	2	1
51	48	1	1
50	49	0	0
49	50	0	0
64	36	1	1
63	37	1	1
62	38	2	2
61	39	2	2
60	40	2	2
59	41	2	2
58	42	2	2
57	43	2	2
56	44	2	2
55	45	2	2
54	46	2	2
53	47	2	2
52	48	1	2
51	49	1	0
50	50	0	0
65	36	1	1
64	37	1	1
63	38	2	2
62	39	2	2
61	40	2	2
60	41	2	2
59	42	2	2
58	43	2	2
57	44	2	2
56	45	2	2
55	46	2	2
54	47	2	2
53	48	2	1
52	49	1	1
51	50	0	0
65	37	1	1
64	38	2	2
63	39	2	2
62	40	2	2
61	41	2	2
60	42	2	2
59	43	2	2
58	44	2	2
57	45	2	2
56	46	2	2
55	47	2	2
54	48	1	2
53	49	1	2
52	50	0	0
66	37	1	1
65	38	1	1
64	39	2	2
63	40	2	2
62	41	2	2
61	42	2	2
60	43	2	2
59	44	2	2
58	45	2	2
57	46	2	2
56	47	2	2
55	48	2	1
54	49	2	1
53	50	0	0
52	51	0	0
66	38	1	1
65	39	1	1
64	40	2	2
63	41	2	2
62	42	2	2
61	43	2	2
60	44	2	2
59	45	2	2
58	46	2	2
57	47	2	2
56	48	2	2
55	49	2	2
54	50	1	0
53	51	0	0
67	38	1	1
66	39	1	1
65	40	2	2
64	41	2	2
63	42	2	2
62	43	2	2
61	44	2	2
60	45	2	2
59	46	2	2
58	47	2	2
57	48	2	2
56	49	2	2
55	50	2	2
54	51	0	0
53	52	0	0
68	38	1	1
67	39	1	1
66	40	1	1
65	41	2	2
64	42	2	2
63	43	2	2
62	44	2	2
61	45	2	2
60	46	2	2
59	47	2	2
58	48	2	2
57	49	2	2
56	50	2	2
55	51	2	0
54	52	0	0
69	38	1	1
68	39	1	1
67	40	1	1
66	41	2	2
65	42	2	2
64	43	2	2
63	44	2	2
62	45	2	2
61	46	2	2
60	47	2	2
59	48	2	2
58	49	2	2
57	50	2	2
56	51	2	2
55	52	0	0
54	53	0	0
69	39	1	1
68	40	1	1
67	41	2	2
66	42	2	2
65	43	2	2
64	44	2	2
63	45	2	2
62	46	2	2
61	47	2	2
60	48	2	2
59	49	2	2
58	50	2	2
57	51	2	2
56	52	1	0
55	53	0	0
70	39	1	1
69	40	1	1
68	41	2	2
67	42	2	2
66	43	2	2
65	44	2	2
64	45	2	2
63	46	2	2
